<X> <Y>
7.018373910000000e-01 1.537481069564819e+00
7.030466080000000e-01 1.527113795280457e+00
7.073429660000000e-01 1.490978121757507e+00
7.098316750000000e-01 1.470543384552002e+00
7.128485420000000e-01 1.446254611015320e+00
7.166167430000000e-01 1.416653871536255e+00
7.183541180000000e-01 1.403278231620789e+00
7.234018110000000e-01 1.365379214286804e+00
7.238596940000001e-01 1.362011194229126e+00
7.293652690000000e-01 1.322405576705933e+00
7.301868780000000e-01 1.316634893417358e+00
7.348708450000000e-01 1.284407615661621e+00
7.369719460000000e-01 1.270316720008850e+00
7.403764210000000e-01 1.247951507568359e+00
7.437570140000000e-01 1.226299524307251e+00
7.458819960000000e-01 1.212965011596680e+00
7.505420810000000e-01 1.184440612792969e+00
7.513875719999999e-01 1.179367780685425e+00
7.568931480000000e-01 1.147076964378357e+00
7.573271490000000e-01 1.144584417343140e+00
7.641122170000000e-01 1.106571674346924e+00
7.651515110000000e-01 1.100902080535889e+00
7.708972850000000e-01 1.070244073867798e+00
7.734098750000000e-01 1.057189345359802e+00
7.776823520000000e-01 1.035455107688904e+00
7.789154510000000e-01 1.029287099838257e+00
7.844210260000000e-01 1.002295732498169e+00
7.853155530000000e-01 9.979922175407410e-01
7.899266020000000e-01 9.761575460433960e-01
7.929487540000000e-01 9.621540904045105e-01
7.954321780000000e-01 9.508240222930908e-01
7.997338220000000e-01 9.315645098686218e-01
8.036905410000000e-01 9.142500758171082e-01
8.073670230000000e-01 8.984981179237366e-01
8.119489050000001e-01 8.793117403984070e-01
8.150002240000001e-01 8.668047785758972e-01
8.174544810000000e-01 8.569010496139526e-01
8.226334260000000e-01 8.364539742469788e-01
8.229600560000000e-01 8.351852297782898e-01
8.284656320000000e-01 8.141591548919678e-01
8.302666270000000e-01 8.074299693107605e-01
8.367239960000000e-01 7.839048504829407e-01
8.378998280000000e-01 7.797214984893799e-01
8.449823590000000e-01 7.551757097244263e-01
8.455330290000000e-01 7.533139586448669e-01
8.504879350000000e-01 7.368562221527100e-01
8.531662300000000e-01 7.281805276870728e-01
8.587462980000000e-01 7.105906605720520e-01
8.607994310000000e-01 7.042800784111023e-01
8.670046620000000e-01 6.857197284698486e-01
8.684326330000000e-01 6.815540194511414e-01
8.725102380000000e-01 6.698698401451111e-01
8.769139670000000e-01 6.575892567634583e-01
8.780158130000000e-01 6.545692682266235e-01
8.853953020000001e-01 6.348640918731689e-01
8.862741770000000e-01 6.325749158859253e-01
8.938766360000000e-01 6.132537722587585e-01
8.945325410000000e-01 6.116253137588501e-01
9.000381160000001e-01 5.981838703155518e-01
9.023579710000000e-01 5.926368236541748e-01
9.082964800000000e-01 5.787342190742493e-01
9.099911720000000e-01 5.748417973518372e-01
9.165548430000000e-01 5.600642561912537e-01
9.176243730000000e-01 5.577000379562378e-01
9.220604190000000e-01 5.480186939239502e-01
9.261057080000000e-01 5.393624901771545e-01
9.303187830000000e-01 5.305181741714478e-01
9.354351760000000e-01 5.200077891349792e-01
9.385771460000000e-01 5.136774778366089e-01
9.447646440000000e-01 5.014862418174744e-01
9.468355100000000e-01 4.974875748157501e-01
9.532459790000000e-01 4.853702783584595e-01
9.550938730000000e-01 4.819510281085968e-01
9.617273130000000e-01 4.699484705924988e-01
9.633522369999999e-01 4.670735001564026e-01
9.702086480000000e-01 4.552258849143982e-01
9.716106010000000e-01 4.528595805168152e-01
9.771161760000000e-01 4.437498748302460e-01
9.795381160000000e-01 4.398344159126282e-01
9.853745400000000e-01 4.306244254112244e-01
9.888675840000000e-01 4.252619147300720e-01
9.936329030000000e-01 4.181215763092041e-01
9.973489190000000e-01 4.126891791820526e-01
1.001891270000000e+00 4.062034487724304e-01
1.006678390000000e+00 3.995444774627686e-01
1.010149630000000e+00 3.948228359222412e-01
1.016007850000000e+00 3.870468139648438e-01
1.018407990000000e+00 3.839271366596222e-01
1.025337320000000e+00 3.751202821731567e-01
1.026666360000000e+00 3.734633624553680e-01
1.034924720000000e+00 3.633843064308167e-01
1.035514920000000e+00 3.626776635646820e-01
1.044844390000000e+00 3.517321944236755e-01
1.045935870000000e+00 3.504783809185028e-01
1.054173860000000e+00 3.411881625652313e-01
1.054194240000000e+00 3.411654829978943e-01
1.062452600000000e+00 3.321525156497955e-01
1.064351460000000e+00 3.301223814487457e-01
1.070710960000000e+00 3.234378397464752e-01
1.074529060000000e+00 3.195106685161591e-01
1.078969330000000e+00 3.150262534618378e-01
1.084706670000000e+00 3.093651533126831e-01
1.087227690000000e+00 3.069258928298950e-01
1.094036130000000e+00 3.004872202873230e-01
1.095486050000000e+00 2.991441786289215e-01
1.103365600000000e+00 2.920193970203400e-01
1.106497210000000e+00 2.892685234546661e-01
1.114391340000000e+00 2.825345396995544e-01
1.114755570000000e+00 2.822307646274567e-01
1.123013930000000e+00 2.754946649074554e-01
1.125417070000000e+00 2.735884785652161e-01
1.134025080000000e+00 2.669473290443420e-01
1.135594670000000e+00 2.657661736011505e-01
1.142283450000000e+00 2.608290016651154e-01
1.145772270000000e+00 2.583121061325073e-01
1.150541810000000e+00 2.549311518669128e-01
1.155949880000000e+00 2.511757910251617e-01
1.161552960000000e+00 2.473664432764053e-01
1.166975610000000e+00 2.437531948089600e-01
1.172564110000000e+00 2.401006966829300e-01
1.178001350000000e+00 2.366136461496353e-01
1.180822480000000e+00 2.348297834396362e-01
1.188178950000000e+00 2.302587479352951e-01
1.189080840000000e+00 2.297064065933228e-01
1.199204680000000e+00 2.236292511224747e-01
1.200091990000000e+00 2.231075763702393e-01
1.211078550000000e+00 2.168002277612686e-01
1.211103140000000e+00 2.167864739894867e-01
1.222104290000000e+00 2.107636034488678e-01
1.222114300000000e+00 2.107582539319992e-01
1.230372660000000e+00 2.064353376626968e-01
1.233130020000000e+00 2.050298452377319e-01
1.238631020000000e+00 2.022818028926849e-01
1.245003890000000e+00 1.991893351078033e-01
1.249642170000000e+00 1.969977915287018e-01
1.256029620000000e+00 1.940571814775467e-01
1.260653330000000e+00 1.919812560081482e-01
1.267055360000000e+00 1.891745328903198e-01
1.271664480000000e+00 1.871989518404007e-01
1.278929230000000e+00 1.841545999050140e-01
1.282675630000000e+00 1.826152801513672e-01
1.290803100000000e+00 1.793411374092102e-01
1.293686780000000e+00 1.781996041536331e-01
1.302676960000000e+00 1.747041493654251e-01
1.304697930000000e+00 1.739311367273331e-01
1.315398970000000e+00 1.699161827564240e-01
1.315709080000000e+00 1.698018163442612e-01
1.326720230000000e+00 1.658146232366562e-01
1.328120970000000e+00 1.653179973363876e-01
1.337731390000000e+00 1.619795113801956e-01
1.339994840000000e+00 1.612111032009125e-01
1.348742540000000e+00 1.583079099655151e-01
1.351868710000000e+00 1.572963595390320e-01
1.359753690000000e+00 1.548068672418594e-01
1.364590710000000e+00 1.533230245113373e-01
1.370764840000000e+00 1.514758169651031e-01
1.377312710000000e+00 1.495718359947205e-01
1.381775990000000e+00 1.483048498630524e-01
1.390034710000000e+00 1.460213661193848e-01
1.392787140000000e+00 1.452766805887222e-01
1.402756710000000e+00 1.426405310630798e-01
1.403798290000000e+00 1.423702538013458e-01
1.414809450000000e+00 1.395652145147324e-01
1.415478710000000e+00 1.393976658582687e-01
1.425820600000000e+00 1.368463486433029e-01
1.429048850000000e+00 1.360642164945602e-01
1.436831750000000e+00 1.342056691646576e-01
1.442618990000000e+00 1.328488290309906e-01
1.447842900000000e+00 1.316430121660233e-01
1.456189120000000e+00 1.297559738159180e-01
1.461606840000000e+00 1.285584717988968e-01
1.469759260000000e+00 1.267998665571213e-01
1.475370780000000e+00 1.256209462881088e-01
1.483329390000000e+00 1.239942610263824e-01
1.486381930000000e+00 1.233846396207809e-01
1.496899530000000e+00 1.213435679674149e-01
1.497393080000000e+00 1.212499886751175e-01
1.508404230000000e+00 1.192111819982529e-01
1.510469660000000e+00 1.188385933637619e-01
1.522168170000000e+00 1.167806237936020e-01
1.524039800000000e+00 1.164589822292328e-01
1.535932110000000e+00 1.144571155309677e-01
1.538458070000000e+00 1.140403598546982e-01
1.546943260000000e+00 1.126597076654434e-01
1.552876340000000e+00 1.117108762264252e-01
1.560707200000000e+00 1.104782074689865e-01
1.567294600000000e+00 1.094588562846184e-01
1.574471140000000e+00 1.083673387765884e-01
1.581712870000000e+00 1.072874516248703e-01
1.585482290000000e+00 1.067344993352890e-01
1.596131140000000e+00 1.052086800336838e-01
1.599246230000000e+00 1.047730296850204e-01
1.611397540000000e+00 1.031221225857735e-01
1.613010170000000e+00 1.029088944196701e-01
1.624021320000000e+00 1.014890968799591e-01
1.625815810000000e+00 1.012635231018066e-01
1.637785260000000e+00 9.979781508445740e-02
1.640234080000000e+00 9.950570017099380e-02
1.651549200000000e+00 9.818578511476517e-02
1.655500480000000e+00 9.773523360490799e-02
1.665313140000000e+00 9.663604944944382e-02
1.670766890000000e+00 9.603600203990936e-02
1.679077080000000e+00 9.513492882251740e-02
1.686033290000000e+00 9.439241141080856e-02
1.692841020000000e+00 9.367616474628448e-02
1.702147820000000e+00 9.271471202373505e-02
1.706604960000000e+00 9.226205945014954e-02
1.718262360000000e+00 9.110492467880249e-02
1.720368900000000e+00 9.090022742748260e-02
1.733528760000000e+00 8.965478092432022e-02
1.736885620000000e+00 8.934651315212250e-02
1.749643300000000e+00 8.821013569831848e-02
1.750649560000000e+00 8.812279999256134e-02
1.764413500000000e+00 8.695986866950989e-02
1.766605970000000e+00 8.677960932254791e-02
1.778177440000000e+00 8.584804087877274e-02
1.782720500000000e+00 8.549027144908905e-02
1.791941380000000e+00 8.477574586868286e-02
1.798835040000000e+00 8.425050973892212e-02
1.808458110000000e+00 8.352854847908020e-02
1.815797710000000e+00 8.298645913600922e-02
1.822222050000000e+00 8.251823484897614e-02
1.832760380000000e+00 8.176417648792267e-02
1.835985990000000e+00 8.153723180294037e-02
1.849723050000000e+00 8.059345185756683e-02
1.852502710000000e+00 8.040733635425568e-02
1.866685720000000e+00 7.948514819145203e-02
1.869019440000000e+00 7.933786511421204e-02
1.883648390000000e+00 7.844226807355881e-02
1.885536170000000e+00 7.833000272512436e-02
1.899300110000000e+00 7.753129303455353e-02
1.901459190000000e+00 7.740885019302368e-02
1.913064050000000e+00 7.676160335540771e-02
1.919269990000000e+00 7.642193138599396e-02
1.929580770000000e+00 7.586584240198135e-02
1.936232660000000e+00 7.551208883523941e-02
1.946097500000000e+00 7.499457895755768e-02
1.954043460000000e+00 7.458448410034180e-02
1.962614230000000e+00 7.414990663528442e-02
1.972702400000000e+00 7.365033775568008e-02
1.979130960000000e+00 7.333955168724060e-02
1.991361330000000e+00 7.276596873998642e-02
1.995647680000000e+00 7.257057726383209e-02
2.012164410000000e+00 7.184403389692307e-02
2.028681140000000e+00 7.115382701158524e-02
2.045197860000000e+00 7.049001753330231e-02
2.061714590000000e+00 6.984435766935349e-02
2.078231320000000e+00 6.921441853046417e-02
2.094748050000000e+00 6.860388070344925e-02
2.111264770000000e+00 6.801919639110565e-02
2.127781500000000e+00 6.746455281972885e-02
2.147051010000000e+00 6.685385107994080e-02
2.166320530000000e+00 6.627300381660461e-02
2.182837260000000e+00 6.579039245843887e-02
2.199353980000000e+00 6.531821936368942e-02
2.218623500000000e+00 6.478292495012283e-02
2.237893010000000e+00 6.427163630723953e-02
2.254409740000000e+00 6.385686993598938e-02
2.273679260000000e+00 6.339934468269348e-02
2.292948770000000e+00 6.296307593584061e-02
2.312218290000000e+00 6.253973394632339e-02
2.331487800000000e+00 6.212602555751801e-02
2.350757320000000e+00 6.172532960772514e-02
2.370026830000000e+00 6.134371086955070e-02
2.389296350000000e+00 6.098412349820137e-02
2.408565860000000e+00 6.064355745911598e-02
2.427835380000000e+00 6.031533703207970e-02
2.447104890000000e+00 5.999430269002914e-02
2.466374410000000e+00 5.968039110302925e-02
2.488396710000000e+00 5.933585017919540e-02
2.510419010000000e+00 5.901211127638817e-02
2.529688530000000e+00 5.874531716108322e-02
2.548958040000000e+00 5.848897621035576e-02
2.570980340000000e+00 5.820282548666000e-02
2.593002650000000e+00 5.792293697595596e-02
2.615024950000000e+00 5.765410140156746e-02
2.637047250000000e+00 5.740118771791458e-02
